content_ko	content_en
What's your least favorite word in the English language?	내가 가장 싫어하는 영어 단어는?
What's a random skill you've mastered that no one knows about?	아무도 모르는 내가 마스터한 특기는?
If you could teleport anywhere for 24 hours, where would you go?	24시간 동안 어디든 순간이동할 수 있다면, 어디로 가고 싶은가?
What's your go-to comfort food when you're having a bad day?	우울할 때 찾게 되는 최애 음식은?
What's your most controversial food opinion?	내가 가진 가장 논란이 될 만한 음식 취향은?
What's the weirdest dream you've had recently?	최근에 꾼 가장 이상한 꿈은?
If you could have any animal as a pet with no consequences, what would you choose?	아무런 제약이 없다면, 키우고 싶은 동물은?
What's something you were obsessed with as a kid that you still secretly love?	어릴 때 집착했던 것 중 아직도 좋아하는 것은?
If you could instantly become fluent in any language, which would you choose?	순식간에 유창하게 말할 수 있게 된다면, 배우고 싶은 언어는?
What's a trend you refused to participate in?	따라하지 않겠다고 고집했던 트렌드는?
What's your favorite meme of all time?	내 인생 최고의 밈은?
If you were a character in the last show/movie you watched, who would you be?	마지막으로 본 영화/드라마 속 캐릭터 중 내가 된다면, 누구인가?
What's something you do differently than most people?	남들과 다르게 하는 내 습관은?
What's the most useless talent you have?	내가 가진 가장 쓸모없는 재능은?
If you could only use 3 apps for the rest of your life, which would you keep?	평생 단 3개의 앱만 쓸 수 있다면, 어떤 것을 고를 것인가?
What's the strangest thing in your room right now?	내 방에서 가장 독특한 물건은?
What's your favorite way to waste time?	시간을 가장 많이 낭비하는 방법은?
Do you have a specific morning or night routine?	아침이나 밤에 꼭 하는 루틴이 있는가?
Have you ever given or received a handwritten letter?	손편지를 써본 적 있거나 받아본 적이 있는가?
What's your love language?	내 사랑의 언어는?
What song do you know every single word to?	가사를 하나도 틀리지 않고 부를 수 있는 노래는?
Who's an underrated artist more people should listen to?	더 많은 사람들이 들어야 할 저평가된 가수는?
What's the best concert/show you've ever been to?	지금까지 가본 최고의 콘서트/공연은?
What movie can you watch over and over without getting tired of it?	질리지 않고 계속 볼 수 있는 영화는?
What song always puts you in a good mood?	기분이 좋아지는 노래는?
What TV show are you currently binging?	요즘 정주행 중인 드라마는?
What's the worst movie you've seen recently?	최근에 본 최악의 영화는?
What character from a show/movie do you relate to most?	가장 공감 가는 영화/드라마 캐릭터는?
If you could revive any canceled show, which would it be?	다시 부활시킬 수 있다면, 살리고 싶은 종영된 드라마는?
What's your guilty pleasure when it comes to music?	음악적으로 가장 부끄럽게 생각하는 취향은?
What song makes you emotional every time?	들을 때마다 감정이 폭발하는 노래는?
What album could you listen to on repeat?	무한 반복으로 들을 수 있는 앨범은?
What song lyrics hit differently now than when you first heard them?	처음 들었을 때와 지금이 느낌이 완전히 달라진 가사는?
If you could have any fictional character's wardrobe, whose would you choose?	어떤 캐릭터의 옷장을 가질 수 있다면, 누구의 것을 선택할 것인가?
What's the most underrated show nobody talks about?	정말 저평가되었는데 아무도 이야기하지 않는 드라마는?
What's the weirdest dream you've ever had?	살면서 꾼 가장 이상한 꿈은?
Would you rather always have to whisper or always have to shout?	평생 속삭이듯 말해야 한다면 vs 평생 소리치듯 말해야 한다면, 무엇을 선택할 것인가?
What's something you know you do differently than most people?	남들과 다르게 하는 행동 하나는?
What's a skill you wish you'd started learning earlier?	좀 더 일찍 배우기 시작했어야 했다고 후회하는 기술은?
If money and practicality weren't issues, what would you study?	돈과 실용성을 다 떠나서 공부하고 싶은 것은?
What's a career you think you'd be terrible at?	절대 할 수 없을 것 같은 직업은?
What's the most important life skill that isn't taught in school?	학교에서 가르쳐주지 않아서 아쉬운 중요한 인생 기술은?
What's a small goal you're currently working toward?	현재 달성하려고 하는 작은 목표는?
What's something you're learning outside of school/work right now?	학교나 직장 밖에서 요즘 배우고 있는 것은?
If your life had a soundtrack, what would be the title of the current chapter?	내 인생에 사운드트랙이 있다면, 지금 챕터의 제목은?
What's the most spontaneous thing you've ever done?	가장 충동적으로 해본 일은?
If you could uninvent one thing, what would it be?	세상에서 하나 없앨 수 있다면, 무엇을 없앨 것인가?
What's the best way someone has ever shown they care about you?	누군가 나에게 해줬던 최고의 배려는?
What's a quality you value most in your friends?	친구들에게 가장 중요하게 생각하는 덕목은?
What's something your friends would be surprised to learn about you?	내 친구들이 알면 놀랄 만한 사실 하나는?
What's the most meaningful gift you've ever received?	내가 받은 선물 중 가장 의미 있었던 것은?
Who in your life makes you laugh the most?	나를 가장 많이 웃게 만드는 사람은?
What's your idea of a perfect hangout with friends?	완벽한 친구 모임은 어떤 분위기인가?
What's something you appreciate about our friendship that I might not know?	우리 우정에서 내가 생각하는 소중한 점 하나는?
What's your love language (how you prefer to give and receive affection)?	내가 사랑을 표현하는 방식은?
What's a boundary you've gotten better at setting?	내가 더 잘하게 된 개인적인 경계(바운더리)는?
What's the most embarrassing thing that's happened on a date?	데이트하면서 겪은 가장 창피한 순간은?
What's a deal-breaker for you in any kind of relationship?	어떤 관계든 절대 용납할 수 없는 결정적 단점은?
What's something small that someone did that meant a lot to you?	누군가 해준 작은 행동 중 감동받은 것은?
How do you think your friends would describe you when you're not around?	내가 없는 자리에서 친구들이 나를 어떻게 설명할 것인가?
What's your go-to conversation starter with someone new?	처음 보는 사람과 대화할 때 쓰는 단골 멘트는?
What makes you feel most supported during tough times?	힘들 때 가장 도움이 되는 방법은?
What do you think your future self would be most surprised about your current self?	미래의 내가 지금의 나를 보고 가장 놀랄 만한 점은?
What's a question you wish people would ask you more often?	사람들이 나에게 좀 더 자주 물어봤으면 하는 질문은?
If you suddenly had 1 million followers online, what would you do with that platform?	갑자기 SNS에서 팔로워 100만 명이 생긴다면, 무엇을 할 것인가?
If you could tell your younger self one thing, what would it be?	어린 시절의 나에게 한 가지 조언을 해줄 수 있다면, 무엇을 말할 것인가?
What three words would you use to describe yourself right now?	지금의 나를 표현하는 세 단어는?
What part of your identity are you most proud of?	내가 가장 자랑스러워하는 정체성의 한 부분은?
What's something you're trying to improve about yourself?	요즘 나 자신에 대해 개선하려고 노력하는 점은?
When do you feel most like yourself?	언제 가장 나다운 기분이 드는가?
What's something you've recently discovered about yourself?	최근에 새롭게 깨달은 나의 특징은?
What's a question you've been asking yourself lately?	요즘 스스로에게 자주 던지는 질문은?
What's something you used to be insecure about that doesn't bother you anymore?	한때 콤플렉스였는데 이제는 신경 쓰이지 않는 것은?
What's something that used to seem important but now seems trivial?	예전에는 중요하게 생각했지만, 지금은 아무렇지도 않은 것은?
Who has had the biggest influence on the person you're becoming?	지금의 나를 만든 가장 큰 영향을 준 사람은?
What's the best decision you've made in the past year?	작년 한 해 동안 했던 최고의 결정은?
What's something you've overcome that you're proud of?	내가 극복한 것 중 가장 자랑스러운 것은?
What's a small habit that's improved your life?	내 인생에서 가장 도움이 된 작은 습관은?
What do you think your future self will thank you for?	미래의 내가 지금의 나에게 가장 고마워할 만한 것은?
What's the most important value you live by?	내가 가장 중요하게 여기는 가치관은?
If you could time travel, would you go to the past or future? What year and why?	과거 또는 미래로 시간 여행을 할 수 있다면, 몇 년도로 가고 싶은가?
If your life was a movie, which actor would play you?	내 인생이 영화라면, 나를 연기할 배우는 누구인가?
You've been given an elephant that you can't get rid of or sell. What do you do with it?	코끼리 한 마리를 선물 받았는데 팔 수도 없고 버릴 수도 없다면, 어떻게 할 것인가?
What's something you've seen online recently that made you think?	최근에 본 온라인 콘텐츠 중 생각할 거리를 준 것은?
How has social media changed your life, for better or worse?	소셜미디어가 내 삶을 어떻게 바꾸었는가, 좋은 쪽이든 나쁜 쪽이든?
What's a social media trend you secretly love?	비밀스럽게 좋아하는 소셜미디어 트렌드는?
What's the longest you've gone without checking your phone?	핸드폰을 가장 오래 안 본 기록은?
What's something people do on social media that annoys you?	소셜미디어에서 사람들이 하는 행동 중 가장 짜증 나는 것은?
What's the best account you follow that more people should know about?	내가 팔로우하는 계정 중 더 많은 사람들이 알아야 할 계정은?
If you had to delete all but one social media app, which would you keep?	하나의 소셜미디어 앱만 남기고 다 지워야 한다면, 어떤 것을 남길 것인가?
What's something you've learned from TikTok/Instagram that was actually useful?	틱톡이나 인스타그램에서 배운 것 중 실제로 유용했던 것은?
What's a photo in your camera roll that would make no sense to anyone else?	내 갤러리에 있는 사진 중 남들이 보면 절대 이해 못 할 사진은?
What's something you'd never share on social media?	절대 소셜미디어에 공유하지 않을 것은?
What's the weirdest rabbit hole you've gone down on the internet recently?	최근에 인터넷에서 빠져든 가장 이상한 주제는?
What's the longest you've spent creating a single post?	가장 오래 걸려서 만든 소셜미디어 게시물은?
What would your perfect day look like if money and logistics weren't an issue?	돈과 현실적인 제한이 전혀 없다면, 완벽한 하루는 어떻게 보낼 것인가?
If you could have any mythical creature as a pet, what would you choose?	어떤 신화 속 동물을 키울 수 있다면, 무엇을 선택할 것인가?
You wake up with the ability to speak every language in the world. What do you do first?	하루아침에 모든 언어를 할 수 있게 된다면, 가장 먼저 무엇을 할 것인가?
Would you rather have the ability to read minds or be invisible?	다른 사람의 마음을 읽을 수 있는 능력 vs 투명 인간이 될 수 있는 능력, 어떤 것을 선택할 것인가?
Would you rather never have to sleep again or never have to eat again?	평생 잠을 안 자도 되는 능력 vs 평생 음식을 안 먹어도 되는 능력, 어떤 것이 더 좋을까?
If you could switch lives with anyone for a day, who would it be?	다른 사람과 하루 동안 인생을 바꿀 수 있다면, 누구와 바꾸고 싶은가?
If you had to have one superpower that would sometimes malfunction, what would you choose?	완벽하지 않고 가끔 오작동하는 초능력을 가질 수 있다면, 어떤 능력을 원할 것인가?
If you had to live in a fictional universe forever, which would you choose?	평생 한 가지 가상 세계에서 살아야 한다면, 어디를 선택할 것인가?
If you could master one type of art overnight, which would you choose?	하룻밤 사이에 마스터할 수 있는 예술 분야가 있다면, 어떤 것을 선택할 것인가?
Would you rather never be able to use a smartphone again or never be able to use a computer again?	스마트폰을 영원히 못 쓰는 대신 컴퓨터는 쓸 수 있다 vs 컴퓨터를 영원히 못 쓰는 대신 스마트폰은 쓸 수 있다. 어떤 것을 선택할 것인가?
If you could have dinner with anyone from history, who would it be?	어떤 역사적 인물과 저녁을 함께할 수 있다면, 누구를 선택할 것인가?
Would you rather have the ability to speak every language or play every musical instrument?	모든 언어를 할 수 있는 능력 vs 모든 악기를 연주할 수 있는 능력, 어떤 것이 더 좋을까?
If you had to teach a class on something you know well, what would it be?	내가 가장 잘 알고 있는 주제로 강의를 해야 한다면, 무엇을 가르칠 것인가?
Would you rather be famous for something impressive or infamous for something ridiculous?	놀랍도록 인상적인 업적으로 유명해지는 것 vs 어이없이 웃긴 사건으로 악명 높아지는 것, 어떤 것이 나을까?
If you could have a lifetime supply of one thing, what would it be?	평생 무제한으로 공급받을 수 있는 것이 있다면, 무엇을 원할 것인가?
Would you rather live without music or without movies/TV?	영화/TV 없이 살기 vs 음악 없이 살기, 어떤 것을 선택할 것인가?
If you could know the absolute truth to one question, what would you ask?	절대적인 진실을 하나 알 수 있다면, 어떤 질문을 할 것인가?
If you could bring back any discontinued product, what would it be?	다시 부활시키고 싶은 단종된 제품이 있다면, 무엇인가?
What superpower would be the most inconvenient to have?	가장 불편할 것 같은 초능력은?
If you were a kitchen utensil, what would you be and why?	내가 주방 도구라면, 어떤 것이고 그 이유는?
What's something you've changed your mind about recently?	최근에 바뀐 내 생각이나 관점은?
What's a question nobody asks but you wish they would?	사람들이 잘 묻지 않지만, 나에게 꼭 물어봤으면 하는 질문은?
What's something you're still figuring out about yourself?	아직도 나 자신에 대해 완전히 이해하지 못한 것은?
What's the most important lesson you've learned in the past year?	지난 1년 동안 배운 가장 중요한 교훈은?
What's a memory you find yourself returning to often?	자주 떠올리는 기억은?
What's something that gives you hope for the future?	미래에 대해 희망을 가지게 만드는 것은?
What's a topic you could talk about for hours?	내가 몇 시간이고 떠들 수 있는 주제는?
What's the most meaningful compliment you've ever received?	가장 의미 있었던 칭찬은?
What's a quality in others that you're trying to develop in yourself?	다른 사람들에게서 보고 배우고 싶은 성격적 특성은?
What's something that feels like home to you?	집 같다라고 느껴지는 것은?
What's a small act of kindness you'll never forget?	절대 잊지 못할 사소한 친절한 행동은?
What's a question that's been on your mind lately?	요즘 머릿속을 맴도는 질문은?
What's something you wish you could experience again for the first time?	다시 처음처럼 경험하고 싶은 것은?
What's a lesson you had to learn the hard way?	직접 겪어보고 깨달은 교훈은?
What does success look like to you?	나에게 성공이란 무엇인가?
If your pet could talk, what would they say about you?	내 반려동물이 말을 할 수 있다면, 나에 대해 뭐라고 할 것인가?
What's your go-to dance move when no one's watching?	아무도 안 볼 때 춤출 때 하는 기본 동작은?
What's a ridiculous argument you've had with someone?	가장 터무니없는 논쟁을 한 적이 있다면, 그 주제는?
What's something small that made you happy today?	오늘 기분이 좋아진 사소한 일은?
What's currently your favorite part of your daily routine?	요즘 하루 일과 중 가장 좋아하는 순간은?
What's your current go-to outfit when you want to feel good?	기분 좋게 해주는 최애 패션 아이템은?
What's something new you've tried recently?	최근에 새롭게 시도해 본 것은?
What are you currently obsessed with?	요즘 가장 빠져 있는 것은?
What's a recent photo on your phone that you love?	핸드폰에 저장된 최근 사진 중 가장 좋아하는 것은?
What's the best thing you've eaten in the past week?	이번 주 먹은 것 중 가장 맛있었던 음식은?
What's something you're looking forward to this weekend/month?	이번 주말 혹은 이번 달에 기대하고 있는 것은?
What's a recent win you haven't shared yet?	아직 말하지 않은 최근의 작은 성취는?
What's your current favorite way to spend a free hour?	한 시간의 자유 시간이 주어진다면, 어떻게 보낼 것인가?
What's your ideal morning look like right now?	지금 가장 이상적인 아침 루틴은?
What's something that made you laugh recently?	최근에 크게 웃게 만든 일은?
What's your current favorite spot in your hometown?	내가 사는 곳에서 가장 좋아하는 장소는?
What's a habit you're trying to build or break?	만들고 싶은 혹은 없애고 싶은 습관은?
What's a random thought you had today?	오늘 하루 동안 들었던 가장 엉뚱한 생각은?
If your life had a warning label, what would it say?	내 인생이 경고 문구를 가져야 한다면, 뭐라고 적힐 것인가?
What's the weirdest food combination you secretly enjoy?	비밀스럽게 좋아하는 이상한 음식 조합은?
If you were a ghost, who would you haunt and how?	유령이 된다면, 누구를 괴롭힐 것인가?
What's something everyone loves that you don't get the hype for?	모두가 좋아하는데 나만 이해 못 하는 것은?
Sweet or savory breakfast person?	달콤한 아침 식사 vs 짭짤한 아침 식사, 어떤 것이 더 좋은가?
What's a hill you're willing to die on (a strong opinion you hold)?	절대 양보할 수 없는 강한 의견이 있다면, 무엇인가?
What's the best fast food chain and why?	최고의 패스트푸드 체인은 무엇이며, 그 이유는?
What's something that's totally worth the money?	절대 돈 아깝지 않은 것은?
Early bird or night owl? Has it always been that way?	아침형 인간 vs 저녁형 인간, 그리고 원래 그랬는가?
What's the ideal temperature for a room?	실내에서 가장 이상적인 온도는?
Coffee, tea, or neither?	커피 vs 차 vs 아무것도 안 마시는 것, 무엇을 선택할 것인가?
Would you rather live in a big city, suburbs, or rural area?	대도시 vs 교외 vs 시골, 어디서 살고 싶은가?
What's the best cereal of all time?	최고의 시리얼은 무엇인가?
What's something that's considered "uncool" that you genuinely enjoy?	촌스럽다고 여겨지지만 진짜 좋아하는 것은?
What's your stance on pineapple on pizza?	파인애플 피자, 찬성하는가 반대하는가?
Would you rather have extremely cold winters or extremely hot summers?	극도로 추운 겨울 vs 극도로 더운 여름, 어떤 것이 더 나은가?
What's the best way to spend a rainy day?	비 오는 날을 가장 잘 보내는 방법은?
What's your favorite way to recharge when you're feeling drained?	기운이 빠졌을 때, 어떻게 충전하는가?
What's your most irrational fear?	가장 비합리적인 두려움은?
What's something weird you do when you're alone?	혼자 있을 때만 하는 이상한 행동은?
What's the oddest compliment you've ever received?	들었을 때 당황했던 가장 이상한 칭찬은?
What's a random fact about you that most people don't know?	다른 사람들이 잘 모르는 내 랜덤한 사실은?
What's your go-to fun fact when introducing yourself?	처음 만난 사람에게 소개할 때 자주 하는 재미있는 이야기는?
What's a nickname you've had that actually stuck?	별명 중 가장 오래 사용한 것은?
If your life had a theme song, what would it be?	내 인생의 테마송이 있다면, 어떤 노래인가?
What's a small habit you have that you actually love?	내가 가진 작은 습관 중 가장 좋아하는 것은?
What's the best compliment you've ever received?	살면서 받은 최고의 칭찬은?
If you could relive one day of your life, which would it be?	다시 살 수 있다면, 어느 하루를 선택할 것인가?
What's something from your childhood that still makes you smile?	어린 시절의 기억 중 떠올릴 때마다 웃음 짓게 만드는 것은?
What's one thing you wish you had started doing earlier?	좀 더 일찍 시작했어야 한다고 후회하는 것은?
If you could instantly master any skill, what would it be?	순식간에 마스터할 수 있다면, 배우고 싶은 기술은?
What's a weird talent or skill you have?	내가 가진 가장 이상한 재능이나 쓸모없는 기술은?
Do you consider yourself more introverted or extroverted?	나는 내향적인가, 외향적인가?
What's your biggest irrational fear?	가장 비합리적인 두려움은?
What's something small that makes your day instantly better?	하루를 즉시 밝게 만들어 주는 작은 일은?
What's a decision you made that changed your life in a good way?	내 인생을 긍정적인 방향으로 바꾼 결정은?
If you had to eat one color of food for the rest of your life, which would it be?	평생 한 가지 색깔의 음식만 먹어야 한다면, 어떤 색을 선택할 것인가?
What's something you judge people for but secretly do yourself?	다른 사람들을 몰래 판단하면서 사실 나도 하는 행동은?
If you were a scented candle, what would you smell like?	향초가 될 수 있다면, 어떤 향이 날 것인가?
What's the best thing about your closest friend?	내 가장 친한 친구의 최고의 장점은?
Have you ever had a friendship that completely surprised you?	전혀 예상하지 못했던 우정이 있다면?
What's a quality you appreciate most in a friend?	친구에게서 가장 소중하게 여기는 성격적 특징은?
Would you rather have one super close friend or a huge friend group?	한 명의 절친 vs 큰 친구 그룹, 어느 쪽이 더 좋은가?
What's your ideal way to spend time with your friends?	친구들과 함께 보내는 가장 이상적인 시간은?
Have you ever had a falling out with a friend and made up later?	예전에 친구와 싸웠다가 다시 화해한 적이 있는가?
What's your favorite type of conversation to have with close friends?	가장 좋아하는 친구들과의 대화 스타일은?
What's one way to instantly make you feel closer to someone?	누군가와 즉시 친밀감을 느끼게 만드는 것은?
How do you usually show appreciation for your friends?	친구들에게 고마움을 표현하는 방법은?
Would you rather go on a deep late-night talk or a fun adventure with your friends?	심야의 깊은 대화 vs 친구들과의 신나는 모험, 어떤 것이 더 좋은가?
What's something that instantly makes you feel comfortable with someone?	누군가와 즉시 편안함을 느끼게 만드는 것은?
Do you believe exes can be friends?	전 애인과 친구가 될 수 있다고 생각하는가?
Have you ever met someone and just instantly clicked with them?	누군가를 처음 만났을 때 즉각적으로 마음이 맞았던 경험이 있는가?
What's the funniest inside joke you have with your friends?	친구들과 하는 내부 농담 (inside joke) 중 가장 재미있는 것은?
What's a place you've always wanted to visit but haven't yet?	한 번도 가보지 않았지만 꼭 가보고 싶은 곳은?
What's something you want to learn just for the fun of it?	순전히 재미로 배우고 싶은 것은?
What's the most daring thing on your bucket list?	버킷리스트 중 가장 대담한 목표는?
What's a hobby you could talk about for hours?	몇 시간이고 이야기할 수 있는 취미는?
If you had unlimited time and money, what hobby would you pick up?	시간과 돈이 무한하다면 도전해 보고 싶은 취미는?
What's your favorite way to spend a lazy day?	가장 완벽한 게으른 날을 보내는 방법은?
Do you prefer reading, watching, or listening to stories?	책 읽기 vs 영화 보기 vs 팟캐스트 듣기, 어떤 것이 더 좋은가?
Have you ever randomly discovered a new interest that became an obsession?	우연히 새롭게 발견한 흥미로운 관심사가 있는가?
If you could only do one creative activity for the rest of your life, what would it be?	평생 한 가지 창작 활동만 할 수 있다면, 무엇을 선택할 것인가?
Do you like making playlists? If so, what's the best one you've made?	플레이리스트를 만드는 것을 좋아하는가? 가장 잘 만든 플레이리스트는?
What's a niche interest you're obsessed with?	내가 유난히 빠져 있는 독특한 관심사는?
If you could design your dream hobby room, what would it have?	이상적인 취미 공간을 만들 수 있다면, 어떤 것들이 포함될 것인가?
What's the weirdest yet most fun hobby you've ever tried?	가장 이상하지만 재미있었던 취미는?
What's something you'd spend unlimited money on if you could?	제한 없이 돈을 쓸 수 있다면, 가장 많이 사고 싶은 것은?
What's a simple pleasure you never want to give up?	절대 포기하고 싶지 않은 사소한 즐거움은?
What's a skill that would be useless but cool to master?	쓸모없지만 마스터하면 멋있을 것 같은 기술은?
What's the last TV show you binge-watched?	최근에 정주행한 드라마는?
Do you have a favorite underrated movie?	가장 저평가된 영화는?
If you could live in any fictional universe, which one would it be?	어떤 가상 세계에서 살 수 있다면, 어디를 선택할 것인가?
What's a song that always gets you hyped?	항상 기분을 끌어올려 주는 노래는?
If you had to pick one movie to watch forever, what would it be?	단 하나의 영화를 평생 반복해서 봐야 한다면, 어떤 것을 선택할 것인가?
Who's your favorite fictional character of all time?	내가 가장 좋아하는 가상 캐릭터는?
Do you prefer movies, TV shows, or YouTube videos?	영화 vs 드라마 vs 유튜브 영상, 어느 것이 더 좋은가?
What's the best concert or live event you've ever been to?	지금까지 가본 최고의 콘서트나 라이브 공연은?
What's something unique you want to create someday?	언젠가 꼭 만들어 보고 싶은 특별한 프로젝트는?
What's a hobby you've always wanted to try but haven't yet?	항상 해보고 싶었지만 아직 시도하지 못한 취미는?
What's something you'd do if you knew you couldn't fail?	실패할 리 없다면, 도전하고 싶은 것은?
What's one subject you actually enjoyed in school?	학교에서 가장 재미있었던 과목은?
If you could have any job for a day, what would it be?	하루 동안 원하는 직업을 가질 수 있다면, 무엇을 선택할 것인가?
Do you like planning things out or going with the flow?	철저하게 계획하는 스타일 vs 즉흥적으로 행동하는 스타일, 어느 쪽인가?
What's your dream career if money didn't matter?	돈이 상관없다면, 꿈꾸는 직업은?
Have you ever completely changed your mind about what you want to do in life?	살면서 완전히 바뀌었던 인생 계획이 있는가?
What's a small win you've had recently?	최근에 이뤄낸 작은 성취는?
If you could start a business, what would it be about?	내 사업을 시작할 수 있다면, 어떤 분야에서 하고 싶은가?
What motivates you the most?	가장 나를 움직이게 만드는 동기 부여 요소는?
Have you ever had a teacher or mentor who really inspired you?	살면서 가장 인상 깊었던 선생님이나 멘토는?
What's a small goal that would significantly improve your daily life?	일상에서 조금 더 나아지게 만들 수 있는 작은 목표는?
What's a stereotype about your generation that you think is completely wrong?	내 세대에 대한 가장 틀린 고정관념은?
What's something you've learned about mental health that everyone should know?	정신 건강에 대해 배우면서 가장 중요한 깨달음은?
If you had to pick one superpower, what would it be?	하나의 초능력을 가질 수 있다면, 어떤 능력을 원할 것인가?
What's your go-to funny story to tell people?	가장 자주 하는 재미있는 이야기나 에피소드는?
If your pet (or favorite animal) could talk, what would they say to you?	내 반려동물이 말을 할 수 있다면, 나에게 무엇을 말할 것 같은가?
What's your favorite emoji and why?	가장 자주 쓰는 이모티콘은?
If you could bring back any fashion trend, what would it be?	다시 유행했으면 하는 패션 트렌드는?
What's your most random hyperfixation at the moment?	현재 가장 집중하고 있는 마이너한 관심사는?
Would you rather live in a treehouse or a tiny home?	나무 위의 집 vs 작은 미니멀한 집, 어떤 곳에서 살고 싶은가?
If your life was a reality show, what would it be called?	내 인생이 리얼리티 쇼라면, 제목은 무엇인가?
What's the most ridiculous thing you've ever done just for fun?	지금까지 가장 어이없는 행동을 했던 순간은?
Would you rather know how you'll die or when you'll die?	내 사망일을 아는 것 vs 사망 원인을 아는 것, 어느 것이 더 나은가?
What's your policy on following/friending family members online?	SNS에서 가족과 친구를 친구 추가하는 것에 대한 나의 기준은?
How do you think social media will be different in 5 years?	5년 후의 소셜미디어는 어떻게 변해 있을까?
What's a platform you used to love but don't use anymore?	예전에는 좋아했지만 이제는 더 이상 쓰지 않는 플랫폼은?
What's a belief or value that's really important to you?	내가 가장 중요하게 여기는 신념이나 가치관은?
If you could send a message to your future self, what would it say?	미래의 나에게 한 마디를 할 수 있다면, 어떤 말을 하고 싶은가?
What's the best lesson life has taught you so far?	살면서 가장 중요한 교훈은?
If you had to describe yourself in just three words, what would they be?	세 단어로 나를 표현한다면?
What's something you're still figuring out?	아직도 완전히 깨닫지 못한 것은?
What's a mistake that actually turned out to be a good thing?	실수했지만 결과적으로 좋은 방향으로 흘러간 경험이 있는가?
Would you rather travel to the past or the future?	과거로 여행하는 것 vs 미래로 여행하는 것, 어느 것이 더 좋은가?
If you had to live without music or movies, which would you pick?	음악 없이 살기 vs 영화 없이 살기, 어느 것을 선택할 것인가?
Do you prefer deep conversations or playful banter?	깊은 대화 vs 가벼운 농담, 어떤 것이 더 좋은가?
Would you rather be super rich or super famous?	엄청난 부자가 되는 것 vs 엄청나게 유명해지는 것, 어느 것이 더 좋은가?
Would you rather know when you'll die or how you'll die?	죽는 날짜를 아는 것 vs 죽는 방법을 아는 것, 어느 것이 더 나은가?
